city,date,temperature_avg,temperature_min,temperature_max,precipitation,snow,wind_speed,humidity
Cape Town,2020-09-28,10.9,5.0,16.9,0.0,0.0,9.9,0.0
Cape Town,2023-08-30,15.9,11.4,20.8,0.0,0.0,12.3,0.0
Cape Town,2020-11-03,20.3,15.7,28.5,0.0,0.0,17.0,0.0
Cape Town,2022-10-15,17.8,15.2,21.3,0.0,0.0,20.1,0.0
Cape Town,2024-10-21,18.8,12.8,26.1,0.0,0.0,25.4,0.0
Cape Town,2024-05-30,14.4,9.9,16.9,7.4,0.0,25.0,0.0
Cape Town,2022-11-02,19.9,14.0,24.9,1.5,0.0,12.0,0.0
Cape Town,2021-08-17,13.0,11.9,15.5,3.1,0.0,20.3,0.0
Cape Town,2023-10-13,14.8,8.5,20.0,0.1,0.0,14.8,0.0
Cape Town,2025-05-30,14.0,12.2,17.2,1.2,0.0,15.7,0.0
Cape Town,2024-12-23,20.4,18.0,24.0,0.0,0.0,37.5,0.0
Cape Town,2022-12-11,25.3,18.6,33.1,0.0,0.0,20.4,0.0
Cape Town,2025-02-11,22.8,18.4,28.1,0.0,0.0,28.0,0.0
Cape Town,2024-09-12,12.0,7.8,16.7,0.5,0.0,14.2,0.0
Cape Town,2025-05-10,14.2,11.2,16.6,14.8,0.0,28.3,0.0
Cape Town,2020-07-09,13.9,11.0,18.0,0.0,0.0,34.0,0.0
Cape Town,2022-06-15,10.4,7.6,13.7,0.3,0.0,5.6,0.0
Cape Town,2022-12-03,17.1,12.4,21.5,0.0,0.0,19.0,0.0
Cape Town,2023-05-03,14.9,11.6,20.2,0.0,0.0,14.4,0.0
Cape Town,2022-01-10,19.8,17.2,23.1,0.3,0.0,17.8,0.0
Cape Town,2021-09-28,14.6,9.8,19.1,0.0,0.0,11.0,0.0
Cape Town,2022-03-26,19.4,13.9,26.4,0.0,0.0,17.6,0.0
Cape Town,2023-03-12,17.9,11.6,24.9,0.0,0.0,18.3,0.0
Cape Town,2024-09-25,12.4,8.4,16.5,0.7,0.0,16.7,0.0
Cape Town,2022-12-27,19.2,13.5,23.3,0.0,0.0,10.5,0.0
Cape Town,2022-12-25,17.7,14.1,21.7,0.0,0.0,20.3,0.0
Cape Town,2021-10-03,11.8,8.6,14.6,1.4,0.0,11.9,0.0
Cape Town,2021-07-26,14.6,9.4,21.7,0.0,0.0,14.4,0.0
Cape Town,2020-06-19,19.4,15.0,27.0,0.0,0.0,16.8,0.0
Cape Town,2020-03-26,16.4,13.4,23.6,0.0,0.0,27.7,0.0
Cape Town,2022-03-25,19.1,15.6,24.0,0.0,0.0,26.7,0.0
Cape Town,2023-02-07,21.5,18.8,25.5,0.0,0.0,26.7,0.0
Cape Town,2020-08-28,11.4,8.1,15.2,0.0,0.0,18.1,0.0
Cape Town,2021-09-29,15.6,13.0,19.7,0.0,0.0,28.0,0.0
Cape Town,2025-04-02,18.8,17.0,24.0,0.0,0.0,29.1,0.0
Cape Town,2023-04-24,16.5,14.3,18.3,19.6,0.0,19.2,0.0
Cape Town,2024-01-23,25.0,15.3,34.6,0.0,0.0,22.0,0.0
Cape Town,2021-05-16,13.0,9.9,15.6,0.1,0.0,7.8,0.0
Cape Town,2022-04-06,14.1,12.4,17.1,1.8,0.0,11.9,0.0
Cape Town,2022-04-07,14.6,11.4,18.0,0.1,0.0,17.6,0.0
Cape Town,2024-11-17,21.1,14.3,30.0,0.0,0.0,17.7,0.0
Cape Town,2023-04-19,16.8,10.7,24.3,0.0,0.0,11.8,0.0
Cape Town,2022-09-25,14.1,9.4,17.4,0.0,0.0,9.3,0.0
Cape Town,2022-01-19,20.0,13.9,27.6,0.0,0.0,15.7,0.0
Cape Town,2024-08-31,14.5,5.3,26.4,0.0,0.0,17.8,0.0
Cape Town,2023-04-04,17.5,12.7,23.6,0.0,0.0,14.1,0.0
Cape Town,2024-04-26,20.0,15.7,26.4,0.0,0.0,30.2,0.0
Cape Town,2023-07-02,12.4,8.4,18.2,0.0,0.0,8.5,0.0
Cape Town,2021-09-18,16.0,9.4,24.8,0.0,0.0,11.5,0.0
Cape Town,2025-06-20,15.2,12.1,18.4,3.0,0.0,20.9,0.0
Cape Town,2023-09-14,13.2,10.6,15.7,3.1,0.0,30.0,0.0
Cape Town,2020-03-22,19.3,16.0,24.6,0.0,0.0,22.1,0.0
Cape Town,2024-04-10,16.2,12.4,20.1,0.3,0.0,24.7,0.0
Cape Town,2024-03-29,20.1,16.0,26.6,0.0,0.0,29.3,0.0
Cape Town,2020-12-07,19.3,13.0,27.6,0.0,0.0,19.1,0.0
Cape Town,2022-01-01,17.6,14.4,21.4,4.3,0.0,14.6,0.0
Cape Town,2021-05-29,14.4,11.5,17.2,1.8,0.0,10.0,0.0
Cape Town,2022-08-07,13.9,10.6,17.2,0.0,0.0,11.6,0.0
Cape Town,2022-11-23,17.0,13.1,20.7,0.6,0.0,23.8,0.0
Cape Town,2023-01-01,22.8,16.4,31.5,0.0,0.0,24.1,0.0
Cape Town,2024-03-16,18.7,15.5,22.6,0.2,0.0,24.7,0.0
Cape Town,2025-03-21,21.1,17.5,26.0,0.0,0.0,11.0,0.0
Cape Town,2023-11-25,18.9,14.0,24.8,0.0,0.0,22.2,0.0
Cape Town,2025-06-29,13.4,9.5,18.0,9.9,0.0,10.8,0.0
Cape Town,2023-02-17,21.0,18.9,24.3,1.3,0.0,38.8,0.0
Cape Town,2021-11-05,16.2,13.0,19.6,0.3,0.0,9.9,0.0
Cape Town,2023-12-14,19.1,16.3,23.4,0.0,0.0,27.6,0.0
Cape Town,2024-01-27,23.3,17.4,30.3,0.0,0.0,12.0,0.0
Cape Town,2023-07-01,11.5,6.8,17.0,0.0,0.0,9.7,0.0
Cape Town,2022-04-24,14.0,10.3,17.9,0.3,0.0,11.0,0.0
Cape Town,2022-06-16,11.5,7.0,17.5,0.0,0.0,8.4,0.0
Cape Town,2023-11-16,20.2,16.2,25.5,0.0,0.0,14.7,0.0
Cape Town,2024-07-22,10.0,5.7,16.6,0.0,0.0,10.5,0.0
Cape Town,2024-02-14,21.2,16.7,26.6,0.3,0.0,16.0,0.0
Cape Town,2023-10-04,16.3,12.2,21.8,0.6,0.0,10.3,0.0
Cape Town,2020-04-08,15.2,3.6,23.0,0.0,0.0,13.1,0.0
Cape Town,2020-06-03,16.0,13.0,19.0,0.0,0.0,16.7,0.0
Cape Town,2024-09-06,11.4,6.3,16.0,0.0,0.0,23.2,0.0
